date,open,high,low,close,last,yesterday,volume,value,trades
2026-06-17,40400.0,40400.0,35002.0,36563.0,35002.0,1000.0,59999935.0,2193761876330.0,1263456.0
2026-06-20,37550.0,37550.0,37550.0,37550.0,37550.0,36500.0,2753878.0,103408118900.0,8975.0
2026-06-21,38650.0,38650.0,38650.0,38650.0,38650.0,37550.0,2723423.0,105260298950.0,7772.0
2026-06-22,39800.0,39800.0,39800.0,39800.0,39800.0,38650.0,2919662.0,116202547600.0,7296.0
2026-06-23,40950.0,40950.0,40950.0,40950.0,40950.0,39800.0,3317835.0,135865343250.0,10760.0
2026-06-27,42170.0,42170.0,42170.0,42170.0,42170.0,40950.0,3748967.0,158093938390.0,15617.0
2026-06-28,43430.0,43430.0,43430.0,43430.0,43430.0,42170.0,4726859.0,205287486370.0,42842.0
2026-06-29,44730.0,44730.0,44730.0,44730.0,44730.0,43430.0,3783381.0,169230632130.0,19174.0
2026-06-30,46070.0,46070.0,46070.0,46070.0,46070.0,44730.0,4586403.0,211295586210.0,37673.0
2026-07-01,47450.0,47450.0,47450.0,47450.0,47450.0,46070.0,4447715.0,211044076750.0,18284.0
2026-07-07,48870.0,48870.0,48870.0,48870.0,48870.0,47450.0,4696611.0,229523379570.0,21334.0
2026-07-08,50330.0,50330.0,49320.0,50290.0,50330.0,48870.0,35002024.0,1760166429660.0,173666.0
2026-07-14,46800.0,46800.0,46800.0,46800.0,46800.0,48240.0,1466401.0,68627566800.0,1190.0
2026-07-15,45400.0,46770.0,45400.0,45430.0,45400.0,46800.0,13108864.0,595545904300.0,33191.0
2026-07-18,44070.0,44070.0,44070.0,44070.0,44070.0,45430.0,1773301.0,78149375070.0,752.0
2026-07-19,42750.0,42750.0,42750.0,42750.0,42750.0,44070.0,2829754.0,120971983500.0,1288.0
2026-07-20,42800.0,44030.0,41480.0,43550.0,44030.0,42750.0,13105957.0,570756774160.0,119014.0
2026-07-21,44780.0,44850.0,44000.0,44820.0,44850.0,43550.0,2614937.0,117213583270.0,27122.0
2026-07-22,44850.0,44910.0,43480.0,43570.0,43480.0,44820.0,7100657.0,309368353760.0,28534.0
2026-07-25,42340.0,43110.0,42270.0,42370.0,42760.0,43570.0,10821421.0,458480168550.0,38595.0
2026-07-26,43640.0,43640.0,43330.0,43610.0,43640.0,42370.0,4310237.0,187956930840.0,18896.0
2026-07-27,44780.0,44780.0,43120.0,43750.0,44060.0,43610.0,5635950.0,246551621860.0,30046.0
2026-07-28,43600.0,44650.0,42770.0,44200.0,44250.0,43750.0,4453097.0,196836050280.0,20762.0
2026-07-29,43020.0,45050.0,43000.0,44110.0,44380.0,44200.0,3485337.0,153745012270.0,17168.0
2026-08-01,43090.0,45150.0,43090.0,44450.0,44860.0,44110.0,3141309.0,139627564370.0,15501.0
2026-08-02,45500.0,45780.0,44860.0,45500.0,45780.0,44450.0,4877046.0,221886408720.0,13925.0
2026-08-03,46590.0,46860.0,45800.0,46830.0,46860.0,45500.0,4246146.0,198850189860.0,9136.0
2026-08-05,48010.0,48230.0,47500.0,48170.0,48230.0,46830.0,8631518.0,415792110250.0,10960.0
2026-08-08,49580.0,49610.0,49030.0,49470.0,49610.0,48170.0,4916082.0,243205206000.0,14479.0
2026-08-09,50890.0,50890.0,47990.0,48250.0,47990.0,49470.0,3918559.0,189062017390.0,5340.0
2026-08-10,46810.0,48000.0,46810.0,47260.0,47690.0,48250.0,6341041.0,299696484820.0,31051.0
2026-08-11,47700.0,48670.0,46780.0,48020.0,48670.0,47260.0,5367154.0,257751985160.0,12522.0
2026-08-15,48230.0,48660.0,46580.0,47450.0,47400.0,48020.0,2326018.0,110359188390.0,10149.0
2026-08-16,47080.0,48660.0,47030.0,48240.0,48640.0,47450.0,3098152.0,149452785140.0,7195.0
2026-08-17,49390.0,49540.0,47710.0,48900.0,48580.0,48240.0,5101687.0,249460863580.0,15952.0
2026-08-18,48590.0,49400.0,47450.0,48420.0,47760.0,48900.0,3751063.0,181612362090.0,20566.0
2026-08-19,47450.0,49530.0,47070.0,48500.0,48080.0,48420.0,3796884.0,184146228100.0,24557.0
2026-08-22,49450.0,49690.0,48160.0,48880.0,48840.0,48500.0,3569606.0,174496839690.0,6919.0
2026-08-23,49000.0,49000.0,47420.0,47530.0,47570.0,48880.0,1983985.0,94299595650.0,3821.0
2026-08-24,48350.0,48350.0,46120.0,46950.0,46330.0,47530.0,2278271.0,106957127080.0,12337.0
2026-08-25,48350.0,48350.0,47870.0,48310.0,48350.0,46950.0,1731709.0,83666835540.0,5466.0
2026-08-26,48510.0,49460.0,48510.0,49030.0,49460.0,48310.0,4028179.0,197489665270.0,13577.0
2026-08-29,50400.0,50400.0,47570.0,49310.0,49200.0,49030.0,3962872.0,195416400040.0,16364.0
2026-08-31,48000.0,49450.0,47840.0,48430.0,48630.0,49310.0,3609104.0,174792084580.0,19947.0
